element,type,confidence(%)
is this case a part of a cluster,Case Information,67.862366
"if yes, how many other cases have been detected in the cluster",Case Information,63.30575
did all the cases in the cluster receive vaccine from the same vial,Maternal and Neonatal (e.g. Listeria forms),63.656075
"if no, number of vials used in the cluster (enter details separately)",Laboratory Data,69.055855
are ad syringes used for immunization,Potential Vibrio vehicles,63.069416
specify type of syringes used,Potential Vibrio vehicles,63.81606
specific findings and comments,Laboratory Data,72.56095
same reconstitution syringe used for multiple vials of same vaccine,Maternal and Neonatal (e.g. Listeria forms),58.647655
same reconstitution syringe used for different vaccines,Maternal and Neonatal (e.g. Listeria forms),61.92531
separate reconstitution syringe for each vaccine vial,Potential Vibrio vehicles,60.894714
separate reconstitution syringe for each vaccination,Potential Vibrio vehicles,60.50594
if vaccines and diluents are recommended,Maternal and Neonatal (e.g. Listeria forms),70.19568
specific findings and comments,Laboratory Data,72.56095
is the temperature of the vaccine storage refrigerator monitored,Diagnostic Testing,62.447823
"if yes, was there any deviation outside of 2-8 c after the vaccine was placed inside",Maternal and Neonatal (e.g. Listeria forms),66.12812
"if yes, provide details of monitoring separately",Surveillance Use Only,72.56896
"was the correct procedure for storing vaccines, diluents and syringes followed",Medical Encounters,63.726574
was any other item (other than epi vaccines and diluents) in the refrigerator or freezer,Maternal and Neonatal (e.g. Listeria forms),67.247925
were any partially used reconstituted vaccines in the refrigerator,Maternal and Neonatal (e.g. Listeria forms),66.88284
if vaccines expired,Maternal and Neonatal (e.g. Listeria forms),63.082077
if any unusable diluents expired,Potential Vibrio vehicles,61.933907
specific findings and comments,Laboratory Data,72.56095
type of vaccine carrier used,Maternal and Neonatal (e.g. Listeria forms),65.88849
was the vaccine carrier sent to the site on the same day as vaccination,Patient History,64.34983
was the vaccine carrier returned from the site on the same day as vaccination,Patient History,64.24897
was a conditioned ice-pack used,Cold Chain and Transport,66.94824
specific findings and comments,Laboratory Data,72.56095
were any similar events reported within a time period similar to when the adverse event occured and in the same locality,Patient History,73.320045
"if yes, how many events/episodes",Event,61.20451
how many affected,Public Health Issues,65.568855
other comments,Comments,84.709404
other findings/observations/comments,Comments,70.21792
facility,Reporting Entity/Reporting Facility,70.99867
district,Administrative,65.69792
tracking number,Surveillance Use Only,63.864826
patient first name,Patient History,79.49503
surname,Case Information,63.159615
date of birth,Patient History,64.33852
sex,Comments,66.737495
date of investigation (dd/mm/yyyy),Case Information,71.28385
is the case/condition detected by a health worker,Treatment/ Services referrals/ Case Diagnosis and Treatment,79.8805
where is the case/condition detected,Case Information,74.85149
if patient pregnant,Illness in Mother and Infant,72.756386
lactating,Illness in Mother and Infant,67.69845
level of education,Administrative,66.932236
marital status,Partner Information,69.89602
work/occupation,Administrative,72.1982
workplace/nursery/school/college name,Administrative,65.90848
workplace/nursery/school/college physical address,Partner Information,68.182846
workplace/nursery/school/college village/town/city,Administrative,64.76399
workplace/nursery/school/college contact phone,Partner Information,63.330578
name of parent/guardian/next of kin,Partner Information,66.22521
location when symptom started,History of the disease,73.490974
residential village/town/city when symptom started,History of the disease,72.29379
residential chiefdom/zone when symptom started,Treatment/ Services referrals/ Case Diagnosis and Treatment,70.24094
current residential coordinates,Local Fields,62.070835
symptoms and signs/clinical features*,Treatment/ Services referrals/ Case Diagnosis and Treatment,78.53397
"was the patient bitten, scratched, or licked by dog",Medical Encounters,72.524956
what is the living status of the dog,History of the disease,58.56539
the circumstance that caused the dog to bite or scratch the patient,Medical Encounters,73.20199
other circumstance specify,Case Information,68.03244
was the dog observed for 14 days,Patient History,65.844
is the dog still alive after 14 days of the bite/scratch,Medical Encounters,61.23144
is the dog dead,Case Information,57.263737
date dog died (dd/mm/yyyy),Patient History,63.53206
cause of dog death,Epidemiological/Exposure Factors/ Exposure/Source,61.556347
has the dog been vaccinated for rabies,Illness in Mother and Infant,64.14683
date dog vaccinated,History of the disease,59.84496
has specimen from the dog been tested for rabies,Diagnostic Testing,69.21294
results of dog test,Diagnostic Testing,75.99699
date dog test result released (dd/mm/yyyy),Laboratory Data,68.68377
do you suspect the dog that bite or scratched the patient to have rabies,Medical Encounters,66.79984
nature of the exposure,Epidemiological/Exposure Factors/ Exposure/Source,73.183586
nature of injury,Clinical Information,62.720535
date of exposure (dd/mm/yyyy),Epidemiological/Exposure Factors/ Exposure/Source,71.881134
site of injury,Case Information,67.294205
circle affected body site,Medical Encounters,63.97301
"did the patient seek medical care after bite, lick or scratch",Medical Encounters,73.14177
was wound washed with soap and water for 10 minutes or cleaned with 70 percent alcohol or povidone iodine,Clinical Information,63.64535
was antibiotic administered,Illness in Mother and Infant,70.04051
was tetanus toxoid administered,Clinical Information,61.031235
was anti-rabies vaccine given,History of the disease,61.456455
number of anti-rabies vaccine doses given,Treatment/ Services referrals/ Case Diagnosis and Treatment,56.94763
date of first dose (dd/mm/yyyy),Patient History,65.07658
date of second dose (dd/mm/yyyy),Patient History,63.169827
date of third dose (dd/mm/yyyy),Patient History,63.3964
was immunoglobin administered,Diagnostic Testing,70.2665
date immunoglobin administered (dd/mm/yyyy),Patient History,66.74581
was the wound treated on the same day of exposure,Medical Encounters,65.9193
health facility that provided the prophylaxis/treatment,Treatment/ Services referrals/ Case Diagnosis and Treatment,74.29377
was the patient hospitalized for the illness,Patient History,81.27705
health facility hospitalized,Medical Encounters,76.10271
date hospitalized (dd/mm/yyyy),Patient History,77.741325
clinician name,Clinical Information,77.77763
facility phone number,Treatment/ Services referrals/ Case Diagnosis and Treatment,63.276447
prior treatment/self medication,Treatment/ Services referrals/ Case Diagnosis and Treatment,77.80341
weekly follow up for signs and symptoms (tick against week if signs and symptoms present),Weekly Follow-up,75.53877
does the alert meet case definition for rabies/dog bite,Case Information,64.90485
date of conclusion (dd/mm/yyyy),Patient History,64.73063
final diagnosis,Diagnostic Testing,75.172035
case classification,Case Information,79.78462
final patient vital status,Clinical Information,73.188965
date of death (dd/mm/yyyy),Patient History,63.11879
general comments,Comments,84.09572
name,Case Information,63.117123
designation,Administrative,69.45636
contact phone number,Partner Information,62.941933
facility,Reporting Entity/Reporting Facility,70.99867
district,Administrative,65.69792
tracking number,Surveillance Use Only,63.864826
patient first name,Patient History,79.49503
surname,Case Information,63.159615
date of birth,Patient History,64.33852
sex,Comments,66.737495
date of investigation (dd/mm/yyyy),Case Information,71.28385
is the case/condition detected by a health worker,Treatment/ Services referrals/ Case Diagnosis and Treatment,79.8805
where is the case/condition detected,Case Information,74.85149
if patient pregnant,Illness in Mother and Infant,72.756386
lactating,Illness in Mother and Infant,67.69845
level of education,Administrative,66.93224
marital status,Partner Information,69.89602
work/occupation,Administrative,72.1982
workplace/nursery/school/college name,Administrative,65.90848
workplace/nursery/school/college physical address,Partner Information,68.182846
workplace/nursery/school/college village/town/city,Administrative,64.76399
workplace/nursery/school/college contact phone,Partner Information,63.330578
name of parent/guardian/next of kin,Partner Information,66.22521
location when symptom started,History of the disease,73.490974
residential village/town/city when symptom started,History of the disease,72.29379
residential chiefdom/zone when symptom started,Treatment/ Services referrals/ Case Diagnosis and Treatment,70.24094
current residential coordinates,Local Fields,62.070835
symptoms and signs/clinical features*,Treatment/ Services referrals/ Case Diagnosis and Treatment,78.53397
is there signs of envenom (the presence of three or more symptoms and signs)? yes/no,Treatment/ Services referrals/ Case Diagnosis and Treatment,67.66188
was the patient bitten by a snake,Medical Encounters,72.76952
where did the bite occur,History of the disease,67.710625
is there any sign of fans marks (two punctured wounds),Diagnostic Testing,64.29359
was the patient wearing protective clothing at the time of bite,Medical Encounters,67.83967
site of bite,Case Information,65.03341
circle affected body site,Medical Encounters,63.97301
did the patient seek medical care after bite,Medical Encounters,69.67848
what is the distance from location of bite to the health facility (km),Medical Encounters,67.49469
was the patient immobilised immediately after the bite,Medical Encounters,68.234474
was the patient put in recovery position during transportation,Patient History,67.58109
was antivenom administered to the patient after the bite,Medical Encounters,67.30293
when was the antivenom administered,History of the disease,66.7451
was antibiotic administered,Illness in Mother and Infant,70.04051
