element,members
gonorrhea (gc),Gonorrhea (GC)
herpes type,Herpes type
clinical syndrome (check all that apply),Clinical Syndrome (Check all that apply)
herpes lesions present?,Herpes lesions present?
treatment for infant,Treatment for infant
mother�s dob,Mother�s DOB
birth hospital,Birth Hospital
mother�s labor and delivery medical record no,Mother�s Labor and Delivery Medical Record No
mlymphogranuloma venereum,Mlymphogranuloma venereum
clinical presentation (check all that apply),Clinical Presentation (Check all that apply)
neurologic symptoms present?,Neurologic symptoms present?
ocular symptoms present?,Ocular symptoms present?
otic symptoms present?,Otic symptoms present?
treatment � list medication and dosage below,Treatment � list medication and dosage below
serologic tests for syphilis,Serologic tests for syphilis
titer,Titer
treponemal test,Treponemal Test
cerebrospinal fluid tests,Cerebrospinal fluid tests
elevated csf type*,Elevated CSF type*
organism visualization,Organism visualization
ssn,SSN
"if female, pregnant","If female, pregnant"
emergence phone,Emergence phone
insurance,Insurance
treated,Treated
specify treatment,Specify treatment
reportable diseases and conditions in florida,Reportable Diseases and Conditions in Florida
date of investigation (dd/mm/yyyy),Date of investigation (dd/mm/yyyy)
is the case/condition detected by a health worker,Is the case/condition detected by a health worker
where is the case/condition detected,Where is the case/condition detected
location when symptom started,Location when symptom started
residential chiefdom/zone when symptom started,Residential Chiefdom/Zone when symptom started
onset date of fever,Onset date of Fever
patient is a health worker,Patient is a health worker
cadre,Cadre
staff position (specify),Staff Position (specify)
staff workstation,Staff workstation
have you ever had unprotected sex,Have you ever had unprotected sex
have you ever been treated for sexually transmitted diseases,Have you ever been treated for sexually transmitted diseases
have you ever received blood or tissues,Have you ever received blood or tissues
"have you ever engaged in body piercing, tattoo application or scarification","Have you ever engaged in body piercing, tattoo application or scarification"
"have you ever injected drugs, share needles or other drug paraphernalia","Have you ever injected drugs, share needles or other drug paraphernalia"
have you ever undergone dialysis (heamodialysis) or peritoneal,Have you ever undergone dialysis (heamodialysis) or peritoneal
have you ever had occupational exposure like needle stick,Have you ever had occupational exposure like needle stick
have you ever share accomodation with a confirmed case of hepatitis (b or c),Have you ever share accomodation with a confirmed case of Hepatitis (B or C)
have you ever consumed possibly contaminated meal/food/beverage within 3 months of the onset of jaundice,Have you ever consumed possibly contaminated meal/food/beverage within 3 months of the onset of Jaundice
have you ever consumed undercooked meat or raw shellfish within 3 months of the onset of jaundice,Have you ever consumed undercooked meat or raw shellfish within 3 months of the onset of Jaundice
has there been floods in your residence in the past 3 months,Has there been floods in your residence in the past 3 months
have you ever traveled from your residence in the last 3 months,Have you ever traveled from your residence in the last 3 months
"if yes, village/town/city travelled to","If yes, Village/Town/City Travelled to"
chiefdom/zone travelled to,Chiefdom/Zone travelled to
travelled out of the country,Travelled out of the country
"if yes, country travelled to (address/village/town/city)","If yes, Country Travelled to (Address/Village/Town/City), Country travelled to (Address/Village/Town/City)"
date travelled (dd/mm/yyyy),Date Travelled (dd/mm/yyyy)
date returned (dd/mm/yyyy),Date Returned (dd/mm/yyyy)
prior treatment/self medication,Prior Treatment/Self Medication
have you ever taken hepatitis b vaccine,Have you ever taken Hepatitis B vaccine
does the alert meet case definition for hepatitis diseases,Does the alert meet case definition for Hepatitis Diseases
location when symptom started (address),"Location when symptom started(Address), Location when symptom started (Address)"
residential village/town/city when symptom started,Residential Village/Town/City when symptom started
patient was a followed contact,Patient was a followed contact
head of household mobile phone number,Head of Household mobile phone number
*information provided by category of person:,*Information provided by category of person:
information provided by-relation to patient,Information provided by-Relation to patient
number of household contacts,Number of Household Contacts
location when symptoms developed-town/village/neighborhood/street,Location when symptoms developed-Town/Village/Neighborhood/Street
location where symptoms developed-district/chiefdom,Location where symptoms developed-District/Chiefdom
patient is in isolation or treatment unit,Patient is in Isolation or Treatment Unit
date of admission to isolation unit or treatment unit,Date of admission to isolation unit or treatment unit
name of health facility patient admitted,Name of health facility patient admitted
patient admitted or visit anyone at the health facility before becoming ill,Patient admitted or visit anyone at the health facility before becoming ill
"if yes, name of health facility","If yes, name of health facility"
previous admission or visiting date,Previous admission or Visiting date
date of previous discharge from the hospital,Date of Previous Discharge from the Hospital
traditional healer visited/consulted 3 weeks before becoming ill,Traditional Healer Visited/consulted 3 weeks before becoming ill
traditional healer's name,Traditional Healer's Name
village/town/city where the patient visited the traditional healer,Village/Town/City where the Patient visited the Traditional Healer
chiefdom/zone,Chiefdom/Zone
contact with suspected or confirmed vhf case within 1 month before onset,Contact with suspected or confirmed VHF case within 1 month before onset
name of suspected or confirmed vhf case,Name of suspected or confirmed VHF case
village/neighborhood/town,Village/Neighborhood/Town
vital status of the suspected or confirmed vhf case,Vital status of the suspected or confirmed VHF case
did patient attend a funeral within 1 month before onset of illness,Did patient attend a funeral within 1 month before onset of illness
name of deceased person,Name of Deceased Person
date of funeral,Date of funeral
patient carried/touched the deceased,Patient carried/touched the deceased
patient have had contact with any wild animal products in the past one month,Patient have had contact with any wild animal products in the past one month
type of wild animal the patient had contact with,Type of wild animal the patient had contact with
village/town/city where the patient had contact with wild animal,Village/Town/City where the Patient had contact with wild animal
did patient travel outside home area in the last one month,Did patient travel outside home area in the last one month
village/town/city visited,Village/Town/City visited
chiefdom/zone visited,Chiefdom/Zone visited
date travelled,"Date Travelled, Date travelled"
date returned,Date returned
ebola vaccine received,Ebola Vaccine received
ebola vaccine received date,Ebola Vaccine received date
does the alert meet case definition for acute viral haemorrhagic fever,Does the alert meet case definition for Acute Viral Haemorrhagic Fever
date of conclusion,Date of conclusion
name of reporting officer,Name of Reporting Officer
telephone no. landline (with code),Telephone No. landline (with code)
patient name (use a separate form for each case in cluster),Patient Name (use a separate form for each case in cluster)
"patient's full address with landmarks (street name, house number, locality, phone number etc.)","Patient's full address with landmarks (Street name, house number, locality, phone number etc.)"
